order_id,order_number,customer_id,order_date,status,subtotal,discount_percent,shipping_cost,tax_amount,total_amount,payment_method,shipping_method,promotion_id,notes
99,ORD-20250324-00099,239,2025-03-24,cancelled,2246.97,19,370,471.86,2661.91,paypal,pickup,,
100,ORD-20250302-00100,219,2025-03-02,shipped,1275.83,18,400,267.92,1714.1,paypal,standard,,
101,ORD-20230707-00101,263,2023-07-07,pending,2999.93,5,240,629.99,3719.92,credit_card,express,,
102,ORD-20250617-00102,304,2025-06-17,shipped,363.14,0,330,76.26,769.4,debit_card,express,6,
103,ORD-20250307-00103,23,2025-03-07,processing,2245.71,4,220,471.6,2847.48,credit_card,standard,,
104,ORD-20260112-00104,9,2026-01-12,pending,3493.29,15,200,733.59,3902.89,credit_card,pickup,,Nota del cliente: Llamar antes
105,ORD-20230331-00105,34,2023-03-31,cancelled,1718.16,4,170,360.81,2180.24,cash_on_delivery,same_day,6,
106,ORD-20231006-00106,323,2023-10-06,delivered,217.14,2,70,45.6,328.4,paypal,pickup,,
107,ORD-20231201-00107,109,2023-12-01,delivered,4279.47,6,370,898.69,5291.39,credit_card,same_day,,
108,ORD-20230707-00108,307,2023-07-07,processing,2301.2,3,60,483.25,2775.41,bank_transfer,same_day,,
109,ORD-20230802-00109,79,2023-08-02,pending,2091.93,10,430,439.31,2752.05,debit_card,same_day,7,Nota del cliente: Llamar antes
110,ORD-20250603-00110,185,2025-06-03,delivered,1718.16,5,0,360.81,1993.06,cash_on_delivery,pickup,1,
111,ORD-20230425-00111,185,2023-04-25,processing,2884.77,11,60,605.8,3233.25,debit_card,same_day,,
112,ORD-20250218-00112,189,2025-02-18,processing,2124.24,11,220,446.09,2556.66,debit_card,same_day,7,Nota del cliente: Envolver para regalo
113,ORD-20240707-00113,252,2024-07-07,pending,1093.66,10,190,229.67,1403.96,cash_on_delivery,same_day,4,
114,ORD-20250927-00114,88,2025-09-27,processing,3756.38,17,490,788.84,4396.64,paypal,express,3,
115,ORD-20251010-00115,85,2025-10-10,pending,3898.25,9,320,818.63,4686.04,cash_on_delivery,express,4,
116,ORD-20240517-00116,204,2024-05-17,cancelled,3390.35,10,120,711.97,3883.29,debit_card,pickup,,
117,ORD-20241119-00117,24,2024-11-19,pending,1634.14,0,150,343.17,2127.31,cash_on_delivery,express,,
118,ORD-20240701-00118,287,2024-07-01,processing,646.84,12,380,135.84,1085.06,bank_transfer,same_day,,
119,ORD-20230524-00119,55,2023-05-24,cancelled,274.52,7,140,57.65,452.95,paypal,same_day,4,
120,ORD-20250412-00120,62,2025-04-12,delivered,545,19,270,114.45,825.9,paypal,same_day,,
121,ORD-20230301-00121,22,2023-03-01,pending,2056.84,3,320,431.94,2747.07,cash_on_delivery,same_day,5,
122,ORD-20230721-00122,332,2023-07-21,delivered,2989.23,10,350,627.74,3668.05,bank_transfer,same_day,,
123,ORD-20241126-00123,117,2024-11-26,delivered,3537.73,9,120,742.92,4082.25,debit_card,pickup,,
124,ORD-20250702-00124,102,2025-07-02,shipped,2428.29,13,220,509.94,2842.55,paypal,pickup,6,
125,ORD-20241013-00125,48,2024-10-13,processing,574.74,19,170,120.7,756.24,bank_transfer,same_day,,
126,ORD-20241216-00126,313,2024-12-16,delivered,629.16,20,400,132.12,1035.45,cash_on_delivery,pickup,,
127,ORD-20231228-00127,244,2023-12-28,processing,2684.51,6,130,563.75,3217.19,cash_on_delivery,express,9,
128,ORD-20250514-00128,285,2025-05-14,pending,3765.86,3,110,790.83,4553.71,paypal,pickup,,
129,ORD-20251116-00129,134,2025-11-16,shipped,4259.35,0,390,894.46,5543.81,debit_card,pickup,,
130,ORD-20250517-00130,293,2025-05-17,shipped,4676.39,10,130,982.04,5320.79,paypal,pickup,,
131,ORD-20240708-00131,88,2024-07-08,pending,1185.21,15,340,248.89,1596.32,credit_card,express,,
132,ORD-20230802-00132,133,2023-08-02,pending,1874.09,4,170,393.56,2362.69,bank_transfer,express,,
133,ORD-20230526-00133,99,2023-05-26,cancelled,906.79,16,250,190.43,1202.13,cash_on_delivery,pickup,,
134,ORD-20260131-00134,235,2026-01-31,processing,128.53,13,230,26.99,368.81,cash_on_delivery,same_day,,
135,ORD-20241113-00135,314,2024-11-13,pending,700.02,0,340,147,1187.02,bank_transfer,same_day,6,Nota del cliente: Llamar antes
136,ORD-20230816-00136,209,2023-08-16,cancelled,511.72,17,240,107.46,772.19,paypal,pickup,,
137,ORD-20230202-00137,52,2023-02-02,shipped,1353.24,18,180,284.18,1573.84,credit_card,express,,
138,ORD-20230510-00138,6,2023-05-10,shipped,2436.67,19,20,511.7,2505.4,bank_transfer,standard,3,
139,ORD-20230306-00139,185,2023-03-06,delivered,2204.96,8,380,463.04,2871.6,paypal,pickup,9,
140,ORD-20230524-00140,169,2023-05-24,delivered,6603.13,11,220,1386.66,7483.45,paypal,standard,9,Nota del cliente: Llamar antes
141,ORD-20241021-00141,42,2024-10-21,shipped,1287.36,12,270,270.35,1673.23,debit_card,express,,
142,ORD-20230531-00142,163,2023-05-31,pending,4291.53,4,180,901.22,5201.09,bank_transfer,same_day,3,
143,ORD-20250501-00143,84,2025-05-01,processing,216.76,16,380,45.52,607.6,bank_transfer,pickup,,
144,ORD-20231007-00144,91,2023-10-07,processing,4689.2,20,150,984.73,4886.09,cash_on_delivery,express,5,
145,ORD-20250708-00145,47,2025-07-08,processing,4970.9,11,120,1043.89,5587.99,credit_card,standard,,
146,ORD-20251206-00146,251,2025-12-06,processing,624.11,8,40,131.06,745.24,cash_on_delivery,express,,Nota del cliente: Entregar por la tarde
147,ORD-20240823-00147,169,2024-08-23,shipped,2142,8,280,449.82,2700.46,paypal,same_day,,Nota del cliente: Llamar antes
148,ORD-20250929-00148,119,2025-09-29,delivered,2911.16,17,370,611.34,3397.6,paypal,standard,,
149,ORD-20250224-00149,48,2025-02-24,delivered,1307.16,4,460,274.5,1989.37,bank_transfer,express,,
150,ORD-20231107-00150,117,2023-11-07,delivered,822.75,18,220,172.78,1067.44,bank_transfer,express,,
151,ORD-20231113-00151,134,2023-11-13,pending,2193.08,4,310,460.55,2875.91,paypal,express,,
152,ORD-20250211-00152,304,2025-02-11,delivered,3984.94,0,70,836.84,4891.78,credit_card,standard,,
153,ORD-20230717-00153,18,2023-07-17,pending,252.95,13,60,53.12,333.19,credit_card,standard,,
154,ORD-20250918-00154,30,2025-09-18,cancelled,2525.47,15,310,530.35,2987,paypal,pickup,,
155,ORD-20240510-00155,191,2024-05-10,processing,3238.21,11,40,680.02,3602.03,credit_card,standard,,
156,ORD-20240309-00156,215,2024-03-09,processing,4500.34,3,70,945.07,5380.4,credit_card,express,,
157,ORD-20251026-00157,31,2025-10-26,pending,3097.59,3,280,650.49,3935.15,bank_transfer,pickup,4,
158,ORD-20230528-00158,214,2023-05-28,shipped,2141.43,9,440,449.7,2838.4,bank_transfer,standard,,
159,ORD-20230114-00159,36,2023-01-14,delivered,1450.64,6,430,304.63,2098.23,debit_card,same_day,,
160,ORD-20250526-00160,118,2025-05-26,cancelled,3072.56,20,480,645.24,3583.29,debit_card,express,,
161,ORD-20250824-00161,103,2025-08-24,cancelled,633.88,14,470,133.11,1148.25,paypal,standard,9,
162,ORD-20240406-00162,290,2024-04-06,cancelled,3905.39,17,410,820.13,4471.6,paypal,pickup,3,
163,ORD-20241203-00163,200,2024-12-03,shipped,281.1,9,280,59.03,594.83,debit_card,express,,
164,ORD-20240527-00164,328,2024-05-27,shipped,1947.11,1,480,408.89,2816.53,bank_transfer,same_day,,
165,ORD-20250215-00165,39,2025-02-15,pending,1880.36,18,490,394.88,2426.78,debit_card,express,4,
166,ORD-20241025-00166,321,2024-10-25,delivered,2528.69,5,110,531.02,3043.28,bank_transfer,express,,Nota del cliente: Dejar en portería
167,ORD-20240728-00167,172,2024-07-28,shipped,5835.71,17,230,1225.5,6299.14,bank_transfer,express,,
168,ORD-20241012-00168,225,2024-10-12,shipped,4799.31,15,30,1007.86,5117.27,credit_card,express,,
169,ORD-20251228-00169,159,2025-12-28,pending,3492.87,16,230,733.5,3897.51,debit_card,express,,
170,ORD-20251214-00170,169,2025-12-14,pending,1772,12,70,372.12,2001.48,bank_transfer,pickup,4,
171,ORD-20230812-00171,62,2023-08-12,processing,545.2,14,70,114.49,653.36,credit_card,standard,8,
172,ORD-20240109-00172,54,2024-01-09,cancelled,2697.4,18,190,566.45,2968.32,credit_card,standard,,
173,ORD-20250317-00173,253,2025-03-17,delivered,2790.78,3,280,586.06,3573.12,cash_on_delivery,pickup,,
174,ORD-20250816-00174,91,2025-08-16,shipped,184.21,7,180,38.68,390,debit_card,pickup,1,
175,ORD-20241012-00175,34,2024-10-12,processing,3509.49,4,230,736.99,4336.1,bank_transfer,standard,,Nota del cliente: Envolver para regalo
176,ORD-20250930-00176,134,2025-09-30,pending,3909.87,14,50,821.07,4233.56,credit_card,express,,
177,ORD-20241111-00177,193,2024-11-11,pending,2386.32,11,210,501.13,2834.95,paypal,pickup,,
178,ORD-20250401-00178,191,2025-04-01,processing,465.22,17,350,97.7,833.83,cash_on_delivery,pickup,,
179,ORD-20240717-00179,280,2024-07-17,pending,1981.56,13,20,416.13,2160.09,cash_on_delivery,pickup,,
180,ORD-20240401-00180,102,2024-04-01,delivered,1529.32,16,200,321.16,1805.79,cash_on_delivery,express,6,
181,ORD-20250609-00181,153,2025-06-09,processing,4266.98,3,180,896.07,5215.04,credit_card,same_day,1,
182,ORD-20240828-00182,117,2024-08-28,pending,3081.28,20,100,647.07,3212.09,cash_on_delivery,express,1,Nota del cliente: Dejar en portería
183,ORD-20240727-00183,39,2024-07-27,cancelled,5532.38,20,420,1161.8,6007.7,paypal,same_day,,
184,ORD-20240809-00184,306,2024-08-09,cancelled,5648.08,17,80,1186.1,5954.01,paypal,standard,5,
185,ORD-20260115-00185,53,2026-01-15,processing,859.08,9,110,180.41,1072.17,cash_on_delivery,same_day,,
186,ORD-20230110-00186,167,2023-01-10,shipped,603.33,2,200,126.7,917.96,paypal,standard,,
187,ORD-20250729-00187,286,2025-07-29,pending,2896.88,20,330,608.34,3255.84,credit_card,same_day,,
188,ORD-20230221-00188,329,2023-02-21,cancelled,650.06,20,270,136.51,926.56,cash_on_delivery,same_day,6,
189,ORD-20260208-00189,6,2026-02-08,pending,3753.29,4,460,788.19,4851.35,debit_card,standard,,
190,ORD-20230402-00190,274,2023-04-02,processing,3485.8,9,80,732.02,3984.1,debit_card,pickup,,
191,ORD-20251021-00191,19,2025-10-21,delivered,2281.73,5,480,479.16,3126.8,bank_transfer,pickup,1,Nota del cliente: Entregar por la tarde
192,ORD-20250728-00192,45,2025-07-28,pending,2464.33,4,30,517.51,2913.27,cash_on_delivery,pickup,,
193,ORD-20250206-00193,120,2025-02-06,processing,1337.6,1,240,280.9,1845.12,paypal,express,,
194,ORD-20230517-00194,242,2023-05-17,processing,1224.84,20,220,257.22,1457.09,paypal,express,2,
195,ORD-20260305-00195,158,2026-03-05,shipped,1395.16,7,380,292.98,1970.48,cash_on_delivery,express,,
196,ORD-20230108-00196,79,2023-01-08,processing,1420.12,0,20,298.23,1738.35,cash_on_delivery,standard,2,
197,ORD-20240911-00197,134,2024-09-11,cancelled,3679.09,15,380,772.61,4279.84,debit_card,standard,,
198,ORD-20240401-00198,143,2024-04-01,pending,285.15,4,100,59.88,433.62,paypal,pickup,,
199,ORD-20230330-00199,80,2023-03-30,delivered,3653.49,12,420,767.23,4402.3,debit_card,pickup,,
200,ORD-20240222-00200,106,2024-02-22,pending,4897.92,1,160,1028.56,6037.5,cash_on_delivery,express,,
201,ORD-20230704-00201,175,2023-07-04,pending,1360.52,10,470,285.71,1980.18,debit_card,standard,10,Nota del cliente: Envolver para regalo
202,ORD-20240327-00202,237,2024-03-27,shipped,3595.67,9,220,755.09,4247.15,debit_card,pickup,10,
203,ORD-20250526-00203,73,2025-05-26,delivered,2464.15,12,190,517.47,2875.92,paypal,standard,,
204,ORD-20230915-00204,300,2023-09-15,pending,3029.27,18,100,636.15,3220.15,bank_transfer,standard,,
205,ORD-20230610-00205,205,2023-06-10,shipped,718.04,10,300,150.79,1097.03,credit_card,pickup,,
206,ORD-20240826-00206,247,2024-08-26,pending,2618,19,150,549.78,2820.36,cash_on_delivery,standard,,
207,ORD-20230711-00207,147,2023-07-11,delivered,3418.77,13,440,717.94,4132.27,cash_on_delivery,pickup,10,
208,ORD-20250505-00208,163,2025-05-05,pending,4825,15,110,1013.25,5224.5,cash_on_delivery,same_day,,
209,ORD-20230712-00209,21,2023-07-12,processing,5390.32,9,140,1131.97,6177.16,cash_on_delivery,express,7,
210,ORD-20240716-00210,323,2024-07-16,processing,2548.03,8,190,535.09,3069.28,debit_card,express,,Nota del cliente: Dejar en portería
211,ORD-20240526-00211,54,2024-05-26,cancelled,548.5,17,10,115.19,580.45,debit_card,standard,,
212,ORD-20240603-00212,31,2024-06-03,delivered,2082.58,2,290,437.34,2768.27,paypal,pickup,,
213,ORD-20260103-00213,80,2026-01-03,pending,2152.26,8,340,451.97,2772.05,bank_transfer,express,,
214,ORD-20260130-00214,158,2026-01-30,cancelled,3436.33,2,100,721.63,4189.23,credit_card,express,10,
215,ORD-20231129-00215,190,2023-11-29,pending,3069.2,0,0,644.53,3713.73,paypal,pickup,,Nota del cliente: Envolver para regalo
216,ORD-20230503-00216,240,2023-05-03,shipped,1876.16,5,260,393.99,2436.34,credit_card,express,,
217,ORD-20230225-00217,145,2023-02-25,pending,5473.77,4,360,1149.49,6764.31,paypal,same_day,,
218,ORD-20251201-00218,142,2025-12-01,delivered,2716.92,17,390,570.55,3215.59,bank_transfer,standard,,Nota del cliente: Entregar por la tarde
219,ORD-20260120-00219,327,2026-01-20,cancelled,5414.48,8,70,1137.04,6188.36,bank_transfer,same_day,,
220,ORD-20230530-00220,251,2023-05-30,cancelled,2220.6,19,440,466.33,2705.02,paypal,express,,
221,ORD-20240914-00221,304,2024-09-14,pending,409.98,8,60,86.1,523.28,paypal,standard,5,
222,ORD-20250420-00222,267,2025-04-20,cancelled,526.77,4,420,110.62,1036.32,debit_card,standard,,
223,ORD-20230628-00223,90,2023-06-28,shipped,3061.69,20,430,642.95,3522.3,cash_on_delivery,express,,
224,ORD-20250308-00224,323,2025-03-08,delivered,147.93,2,140,31.07,316.04,bank_transfer,express,,Nota del cliente: Dejar en portería
225,ORD-20260218-00225,46,2026-02-18,shipped,1854.65,14,50,389.48,2034.48,paypal,same_day,2,
226,ORD-20241019-00226,53,2024-10-19,delivered,2414.72,2,10,507.09,2883.52,bank_transfer,same_day,7,Nota del cliente: Dejar en portería
227,ORD-20250523-00227,231,2025-05-23,pending,4266.58,13,180,895.98,4787.9,debit_card,same_day,,
228,ORD-20241202-00228,257,2024-12-02,cancelled,2013.87,19,490,422.91,2544.14,cash_on_delivery,pickup,,
229,ORD-20251127-00229,136,2025-11-27,shipped,3863.63,6,280,811.36,4723.17,bank_transfer,standard,,
230,ORD-20230727-00230,61,2023-07-27,cancelled,171.38,18,40,35.99,216.52,bank_transfer,pickup,,
231,ORD-20250912-00231,12,2025-09-12,processing,3751.77,0,20,787.87,4559.64,debit_card,express,,Nota del cliente: Envolver para regalo
232,ORD-20240214-00232,48,2024-02-14,shipped,1911.55,5,320,401.43,2537.4,debit_card,express,,
233,ORD-20231230-00233,233,2023-12-30,delivered,1881.16,0,370,395.04,2646.2,debit_card,same_day,,
234,ORD-20250530-00234,136,2025-05-30,cancelled,2236.18,15,130,469.6,2500.35,paypal,standard,,
235,ORD-20260102-00235,167,2026-01-02,shipped,1163.05,4,90,244.24,1450.77,paypal,same_day,4,
236,ORD-20231116-00236,253,2023-11-16,shipped,385.71,18,370,81,767.28,bank_transfer,pickup,5,
237,ORD-20250722-00237,31,2025-07-22,pending,757.92,16,440,159.16,1235.81,bank_transfer,express,,Nota del cliente: Llamar antes
238,ORD-20230113-00238,197,2023-01-13,pending,2534.56,5,240,532.26,3180.09,credit_card,express,,
239,ORD-20230613-00239,21,2023-06-13,cancelled,2271.37,3,420,476.99,3100.22,bank_transfer,standard,,
240,ORD-20230120-00240,270,2023-01-20,processing,5151.64,11,290,1081.84,5956.8,debit_card,express,3,Nota del cliente: Dejar en portería
241,ORD-20230429-00241,207,2023-04-29,cancelled,1860.02,5,450,390.6,2607.62,credit_card,express,,
242,ORD-20230509-00242,261,2023-05-09,processing,4924.53,1,430,1034.15,6339.43,debit_card,standard,9,
